#,   Rep, Win, BC,  BS,  RC,  RS,  Time
1368169896,   1,   1,   1,   10,   5,   5,   15
1701773251,   1,   2,   7,   4,   5,   5,   18
676066320,   1,   1,   6,   5,   10,   0,   17
1740389352,   1,   2,   9,   2,   5,   5,   16
702024661,   1,   1,   8,   3,   10,   0,   17
893482227,   1,   1,   7,   4,   10,   0,   19
1151682152,   1,   1,   5,   6,   9,   1,   23
568868372,   1,   2,   7,   4,   4,   6,   21
690417877,   1,   1,   9,   2,   8,   2,   24
59987431,   1,   1,   2,   9,   5,   5,   13
1333108390,   1,   2,   1,   10,   1,   9,   19
149597414,   1,   4,   4,   7,   4,   6,   19
1725185852,   1,   2,   6,   5,   7,   3,   22
1301041267,   1,   2,   11,   0,   2,   8,   19
423534706,   1,   2,   7,   4,   3,   7,   15
1528296161,   1,   2,   8,   3,   5,   5,   16
477204886,   1,   2,   10,   1,   6,   4,   16
1262069656,   1,   2,   3,   8,   8,   2,   20
1760408500,   1,   2,   6,   5,   7,   3,   22
630781245,   1,   2,   11,   0,   5,   5,   20
1849760074,   1,   2,   10,   1,   3,   7,   15
354563629,   1,   1,   6,   5,   10,   0,   11
68890626,   1,   4,   6,   5,   7,   3,   19
2043687031,   1,   1,   3,   8,   10,   0,   18
1418614057,   1,   2,   8,   3,   1,   9,   18
1660511470,   1,   4,   10,   1,   5,   5,   20
510514423,   1,   1,   6,   5,   10,   0,   18
680005995,   1,   1,   1,   10,   4,   6,   22
338427042,   1,   2,   8,   3,   6,   4,   19
971035208,   1,   4,   7,   4,   6,   4,   19
1944799619,   1,   1,   2,   9,   10,   0,   10
1194779836,   1,   1,   2,   9,   8,   2,   18
1288927563,   1,   1,   5,   6,   10,   0,   22
1173028491,   1,   2,   7,   4,   4,   6,   23
1554704616,   1,   2,   9,   2,   2,   8,   18
661445112,   1,   1,   4,   7,   8,   2,   27
487248885,   1,   2,   10,   1,   8,   2,   26
367402544,   1,   2,   10,   1,   7,   3,   16
722175168,   1,   1,   2,   9,   10,   0,   14
145714788,   1,   4,   10,   1,   7,   3,   17
631469410,   1,   2,   9,   2,   2,   8,   22
756752308,   1,   4,   10,   1,   1,   9,   27
180639850,   1,   1,   1,   10,   4,   6,   21
1830920834,   1,   1,   2,   9,   10,   0,   17
1851511943,   1,   2,   11,   0,   2,   8,   11
2027614233,   1,   2,   2,   9,   6,   4,   35
144485937,   1,   2,   2,   9,   2,   8,   42
1434015320,   1,   1,   9,   2,   10,   0,   196
907025521,   1,   2,   6,   5,   5,   5,   22
296926057,   1,   1,   8,   3,   10,   0,   14
532124030,   1,   2,   7,   4,   1,   9,   20
725083658,   1,   2,   6,   5,   2,   8,   31
1257887348,   1,   1,   0,   11,   10,   0,   85
358832172,   1,   2,   11,   0,   7,   3,   165
1900299830,   1,   1,   0,   11,   1,   9,   28
520664366,   1,   2,   11,   0,   0,   10,   139
2058760131,   1,   4,   6,   5,   4,   6,   17
1438951524,   1,   1,   2,   9,   9,   1,   39
844747555,   1,   0,   0,   11,   0,   10,   10000
1617732298,   1,   2,   11,   0,   0,   10,   75
1013906727,   1,   2,   5,   6,   1,   9,   82
718636487,   1,   1,   0,   11,   3,   7,   27
97805000,   1,   1,   1,   10,   10,   0,   8
1645864865,   1,   1,   4,   7,   10,   0,   10
1028296517,   1,   1,   8,   3,   9,   1,   24
1491295825,   1,   2,   11,   0,   0,   10,   43
1191825958,   1,   2,   4,   7,   1,   9,   15
578900356,   1,   1,   0,   11,   8,   2,   22
1050835838,   1,   1,   0,   11,   10,   0,   2379
1976465435,   1,   2,   7,   4,   0,   10,   18
601668305,   1,   2,   5,   6,   4,   6,   33
1063507611,   1,   4,   8,   3,   4,   6,   17
